Filename,Execution Time (seconds)
CBS_k3_n100_m449_b90_733.cnf,1.728466
CBS_k3_n100_m449_b90_789.cnf,1.692664
CBS_k3_n100_m449_b90_885.cnf,10.131768
CBS_k3_n100_m449_b90_190.cnf,1.224972
CBS_k3_n100_m449_b90_443.cnf,1.549619
CBS_k3_n100_m449_b90_554.cnf,0.525517
CBS_k3_n100_m449_b90_810.cnf,1.390868
CBS_k3_n100_m449_b90_157.cnf,0.803429
CBS_k3_n100_m449_b90_601.cnf,0.345710
CBS_k3_n100_m449_b90_417.cnf,0.025578
CBS_k3_n100_m449_b90_349.cnf,3.276532
CBS_k3_n100_m449_b90_950.cnf,0.195787
CBS_k3_n100_m449_b90_120.cnf,0.064496
CBS_k3_n100_m449_b90_287.cnf,0.561902
CBS_k3_n100_m449_b90_583.cnf,1.346367
CBS_k3_n100_m449_b90_177.cnf,0.364401
CBS_k3_n100_m449_b90_783.cnf,0.176947
CBS_k3_n100_m449_b90_192.cnf,0.486286
CBS_k3_n100_m449_b90_671.cnf,0.178372
CBS_k3_n100_m449_b90_128.cnf,0.145223
CBS_k3_n100_m449_b90_689.cnf,0.072127
CBS_k3_n100_m449_b90_105.cnf,2.233671
CBS_k3_n100_m449_b90_692.cnf,0.063667
CBS_k3_n100_m449_b90_577.cnf,0.456824
CBS_k3_n100_m449_b90_46.cnf,0.541818
CBS_k3_n100_m449_b90_248.cnf,0.627198
CBS_k3_n100_m449_b90_891.cnf,0.176291
CBS_k3_n100_m449_b90_319.cnf,0.938275
CBS_k3_n100_m449_b90_493.cnf,0.251871
CBS_k3_n100_m449_b90_700.cnf,4.636855
CBS_k3_n100_m449_b90_206.cnf,0.304310
CBS_k3_n100_m449_b90_14.cnf,2.837499
CBS_k3_n100_m449_b90_33.cnf,0.618964
CBS_k3_n100_m449_b90_112.cnf,0.953286
CBS_k3_n100_m449_b90_757.cnf,3.505218
CBS_k3_n100_m449_b90_997.cnf,0.212564
CBS_k3_n100_m449_b90_593.cnf,0.201073
CBS_k3_n100_m449_b90_188.cnf,0.455191
CBS_k3_n100_m449_b90_547.cnf,6.786892
CBS_k3_n100_m449_b90_880.cnf,1.160261
CBS_k3_n100_m449_b90_965.cnf,0.332477
CBS_k3_n100_m449_b90_787.cnf,0.032809
CBS_k3_n100_m449_b90_74.cnf,1.520686
CBS_k3_n100_m449_b90_990.cnf,0.426734
CBS_k3_n100_m449_b90_259.cnf,0.247249
CBS_k3_n100_m449_b90_944.cnf,0.371392
CBS_k3_n100_m449_b90_175.cnf,0.234692
CBS_k3_n100_m449_b90_652.cnf,0.032856
CBS_k3_n100_m449_b90_481.cnf,0.184824
CBS_k3_n100_m449_b90_526.cnf,0.388551
CBS_k3_n100_m449_b90_285.cnf,0.370900
CBS_k3_n100_m449_b90_971.cnf,0.240959
CBS_k3_n100_m449_b90_735.cnf,0.512104
CBS_k3_n100_m449_b90_865.cnf,0.030120
CBS_k3_n100_m449_b90_873.cnf,1.284398
CBS_k3_n100_m449_b90_26.cnf,0.042973
CBS_k3_n100_m449_b90_330.cnf,0.485634
CBS_k3_n100_m449_b90_893.cnf,0.738560
CBS_k3_n100_m449_b90_672.cnf,5.868651
CBS_k3_n100_m449_b90_938.cnf,2.401580
