Filename,Execution Time (seconds)
uf100-065.cnf,0.198754
uf100-0204.cnf,0.769620
uf100-0903.cnf,0.279262
uf100-0341.cnf,0.179529
uf100-0194.cnf,1.217152
uf100-0783.cnf,0.011551
uf100-0692.cnf,2.030787
uf100-0878.cnf,1.315272
uf100-0660.cnf,0.141878
uf100-0374.cnf,1.541220
uf100-0314.cnf,1.098338
uf100-0273.cnf,0.108914
uf100-0251.cnf,0.586622
uf100-0843.cnf,0.010691
uf100-0795.cnf,0.165376
uf100-0109.cnf,0.170839
uf100-0788.cnf,2.517221
uf100-0943.cnf,2.884313
uf100-0668.cnf,0.257274
uf100-0867.cnf,0.109740
uf100-0189.cnf,0.009688
uf100-0679.cnf,0.085836
uf100-0184.cnf,0.083147
uf100-0536.cnf,0.955555
uf100-0935.cnf,0.840044
uf100-0620.cnf,8.577069
uf100-0421.cnf,2.110898
uf100-0711.cnf,0.329907
uf100-0539.cnf,0.137796
uf100-0132.cnf,1.926282
uf100-0914.cnf,8.929534
uf100-0636.cnf,1.297875
uf100-0609.cnf,0.468451
uf100-0205.cnf,0.526639
uf100-0424.cnf,0.030962
uf100-0346.cnf,1.387138
uf100-0537.cnf,0.632258
uf100-0400.cnf,1.655324
uf100-0741.cnf,0.383218
uf100-0504.cnf,0.026633
uf100-0971.cnf,0.519494
uf100-0512.cnf,1.495051
uf100-0705.cnf,1.865728
uf100-0491.cnf,0.017931
uf100-0446.cnf,0.675618
uf100-0925.cnf,0.031422
uf100-0931.cnf,0.805280
uf100-0363.cnf,0.277253
uf100-0547.cnf,1.224749
uf100-074.cnf,0.445074
uf100-0458.cnf,1.654218
uf100-0531.cnf,2.066986
uf100-0495.cnf,2.853848
uf100-0163.cnf,1.791903
uf100-0435.cnf,0.573241
uf100-0199.cnf,0.079169
uf100-0141.cnf,2.381291
uf100-0647.cnf,0.035060
uf100-048.cnf,0.044218
uf100-082.cnf,0.555460
uf100-0252.cnf,0.166232
uf100-0345.cnf,0.852692
uf100-0126.cnf,6.182830
uf100-0219.cnf,2.128838
uf100-0868.cnf,0.280457
uf100-0111.cnf,0.599328
uf100-0319.cnf,0.305565
uf100-070.cnf,0.004977
uf100-0344.cnf,0.850736
uf100-0444.cnf,4.375769
uf100-04.cnf,15.111951
uf100-0307.cnf,1.511288
uf100-0151.cnf,0.061694
uf100-0381.cnf,1.974804
uf100-0170.cnf,0.983269
uf100-0646.cnf,2.864329
uf100-0762.cnf,0.335330
uf100-0992.cnf,0.255232
uf100-026.cnf,1.607532
uf100-0372.cnf,3.700312
uf100-0746.cnf,0.034108
uf100-0686.cnf,0.306722
uf100-0333.cnf,0.200876
uf100-0505.cnf,0.009960
uf100-0208.cnf,0.173142
uf100-0994.cnf,0.417055
uf100-08.cnf,1.643112
uf100-0343.cnf,1.948736
uf100-0780.cnf,1.058551
uf100-0696.cnf,0.252351
uf100-0676.cnf,0.339208
uf100-0826.cnf,1.026760
uf100-0917.cnf,0.010185
uf100-0209.cnf,2.732360
uf100-0297.cnf,0.860823
uf100-0590.cnf,0.341855
uf100-0261.cnf,1.255614
uf100-019.cnf,0.164547
uf100-0773.cnf,0.010325
